,Código IBGE do Município,Nome da Mesoregião,Sigla da Unidade da Federação,Nome das Grandes Regiões
0,230010,Sul Cearense,CE,Nordeste
1,230015,Norte Cearense,CE,Nordeste
2,230020,Noroeste Cearense,CE,Nordeste
3,230030,Sertões Cearenses,CE,Nordeste
4,230040,Sertões Cearenses,CE,Nordeste
5,230050,Noroeste Cearense,CE,Nordeste
6,230060,Sul Cearense,CE,Nordeste
7,230070,Jaguaribe,CE,Nordeste
8,230075,Norte Cearense,CE,Nordeste
9,230080,Centro-Sul Cearense,CE,Nordeste
10,230090,Norte Cearense,CE,Nordeste
11,230100,Metropolitana de Fortaleza,CE,Nordeste
12,230110,Jaguaribe,CE,Nordeste
13,230120,Norte Cearense,CE,Nordeste
14,230125,Sertões Cearenses,CE,Nordeste
15,230130,Sul Cearense,CE,Nordeste
16,230140,Norte Cearense,CE,Nordeste
17,230150,Sertões Cearenses,CE,Nordeste
18,230160,Sul Cearense,CE,Nordeste
19,230170,Sul Cearense,CE,Nordeste
20,230180,Centro-Sul Cearense,CE,Nordeste
21,230185,Sertões Cearenses,CE,Nordeste
22,230190,Sul Cearense,CE,Nordeste
23,230195,Norte Cearense,CE,Nordeste
24,230200,Sul Cearense,CE,Nordeste
25,230205,Noroeste Cearense,CE,Nordeste
26,230210,Norte Cearense,CE,Nordeste
27,230220,Norte Cearense,CE,Nordeste
28,230230,Noroeste Cearense,CE,Nordeste
29,230240,Sertões Cearenses,CE,Nordeste
30,230250,Sul Cearense,CE,Nordeste
31,230260,Noroeste Cearense,CE,Nordeste
32,230270,Sul Cearense,CE,Nordeste
33,230280,Norte Cearense,CE,Nordeste
34,230290,Norte Cearense,CE,Nordeste
35,230300,Norte Cearense,CE,Nordeste
36,230310,Noroeste Cearense,CE,Nordeste
37,230320,Sul Cearense,CE,Nordeste
38,230330,Centro-Sul Cearense,CE,Nordeste
39,230340,Noroeste Cearense,CE,Nordeste
40,230350,Norte Cearense,CE,Nordeste
41,230360,Sertões Cearenses,CE,Nordeste
42,230365,Noroeste Cearense,CE,Nordeste
43,230370,Metropolitana de Fortaleza,CE,Nordeste
44,230380,Centro-Sul Cearense,CE,Nordeste
45,230390,Noroeste Cearense,CE,Nordeste
46,230393,Sertões Cearenses,CE,Nordeste
47,230395,Norte Cearense,CE,Nordeste
48,230400,Noroeste Cearense,CE,Nordeste
49,230410,Sertões Cearenses,CE,Nordeste
50,230420,Sul Cearense,CE,Nordeste
51,230423,Noroeste Cearense,CE,Nordeste
52,230425,Noroeste Cearense,CE,Nordeste
53,230426,Sertões Cearenses,CE,Nordeste
54,230427,Jaguaribe,CE,Nordeste
55,230428,Metropolitana de Fortaleza,CE,Nordeste
56,230430,Sul Cearense,CE,Nordeste
57,230435,Noroeste Cearense,CE,Nordeste
58,230440,Metropolitana de Fortaleza,CE,Nordeste
59,230445,Jaguaribe,CE,Nordeste
60,230450,Noroeste Cearense,CE,Nordeste
61,230460,Norte Cearense,CE,Nordeste
62,230465,Noroeste Cearense,CE,Nordeste
63,230470,Noroeste Cearense,CE,Nordeste
64,230480,Sul Cearense,CE,Nordeste
65,230490,Noroeste Cearense,CE,Nordeste
66,230495,Metropolitana de Fortaleza,CE,Nordeste
67,230500,Noroeste Cearense,CE,Nordeste
68,230510,Norte Cearense,CE,Nordeste
69,230520,Noroeste Cearense,CE,Nordeste
70,230523,Metropolitana de Fortaleza,CE,Nordeste
71,230526,Sertões Cearenses,CE,Nordeste
72,230530,Noroeste Cearense,CE,Nordeste
73,230533,Jaguaribe,CE,Nordeste
74,230535,Jaguaribe,CE,Nordeste
75,230540,Centro-Sul Cearense,CE,Nordeste
76,230550,Centro-Sul Cearense,CE,Nordeste
77,230560,Sertões Cearenses,CE,Nordeste
78,230565,Sertões Cearenses,CE,Nordeste
79,230570,Centro-Sul Cearense,CE,Nordeste
80,230580,Noroeste Cearense,CE,Nordeste
81,230590,Noroeste Cearense,CE,Nordeste
82,230600,Jaguaribe,CE,Nordeste
83,230610,Noroeste Cearense,CE,Nordeste
84,230620,Jaguaribe,CE,Nordeste
85,230625,Metropolitana de Fortaleza,CE,Nordeste
86,230630,Norte Cearense,CE,Nordeste
87,230640,Norte Cearense,CE,Nordeste
88,230650,Norte Cearense,CE,Nordeste
89,230655,Noroeste Cearense,CE,Nordeste
90,230660,Norte Cearense,CE,Nordeste
91,230670,Jaguaribe,CE,Nordeste
92,230680,Jaguaribe,CE,Nordeste
93,230690,Jaguaribe,CE,Nordeste
94,230700,Jaguaribe,CE,Nordeste
95,230710,Sul Cearense,CE,Nordeste
96,230720,Sul Cearense,CE,Nordeste
97,230725,Noroeste Cearense,CE,Nordeste
98,230730,Sul Cearense,CE,Nordeste
99,230740,Centro-Sul Cearense,CE,Nordeste
100,230750,Centro-Sul Cearense,CE,Nordeste
101,230760,Jaguaribe,CE,Nordeste
102,230763,Sertões Cearenses,CE,Nordeste
103,230765,Metropolitana de Fortaleza,CE,Nordeste
104,230770,Metropolitana de Fortaleza,CE,Nordeste
105,230780,Noroeste Cearense,CE,Nordeste
106,230790,Noroeste Cearense,CE,Nordeste
107,230800,Noroeste Cearense,CE,Nordeste
108,230810,Sul Cearense,CE,Nordeste
109,230820,Noroeste Cearense,CE,Nordeste
110,230830,Sul Cearense,CE,Nordeste
111,230835,Sertões Cearenses,CE,Nordeste
112,230837,Noroeste Cearense,CE,Nordeste
113,230840,Sul Cearense,CE,Nordeste
114,230850,Sertões Cearenses,CE,Nordeste
115,230860,Sertões Cearenses,CE,Nordeste
116,230870,Jaguaribe,CE,Nordeste
117,230880,Noroeste Cearense,CE,Nordeste
118,230890,Noroeste Cearense,CE,Nordeste
119,230900,Noroeste Cearense,CE,Nordeste
120,230910,Norte Cearense,CE,Nordeste
121,230920,Sul Cearense,CE,Nordeste
122,230930,Sertões Cearenses,CE,Nordeste
123,230940,Sertões Cearenses,CE,Nordeste
124,230945,Norte Cearense,CE,Nordeste
125,230950,Centro-Sul Cearense,CE,Nordeste
126,230960,Metropolitana de Fortaleza,CE,Nordeste
